sample,haplotype,file_location,annotation_type,reference
HG02109,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG02109/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02109.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02109,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG02109/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02109.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02145,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG02145/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02145.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02145,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG02145/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02145.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02148,maternal,s3://human-pangenomics/working/HPRC/HG02148/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02148.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02148,paternal,s3://human-pangenomics/working/HPRC/HG02148/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02148.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02257,maternal,s3://human-pangenomics/working/HPRC/HG02257/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02257.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02257,paternal,s3://human-pangenomics/working/HPRC/HG02257/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02257.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02486,maternal,s3://human-pangenomics/working/HPRC/HG02486/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02486.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02486,paternal,s3://human-pangenomics/working/HPRC/HG02486/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02486.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02559,maternal,s3://human-pangenomics/working/HPRC/HG02559/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02559.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02559,paternal,s3://human-pangenomics/working/HPRC/HG02559/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02559.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02572,maternal,s3://human-pangenomics/working/HPRC/HG02572/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02572.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02572,paternal,s3://human-pangenomics/working/HPRC/HG02572/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02572.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02622,maternal,s3://human-pangenomics/working/HPRC/HG02622/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02622.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02622,paternal,s3://human-pangenomics/working/HPRC/HG02622/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02622.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02630,maternal,s3://human-pangenomics/working/HPRC/HG02630/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02630.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02630,paternal,s3://human-pangenomics/working/HPRC/HG02630/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02630.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02717,maternal,s3://human-pangenomics/working/HPRC/HG02717/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02717.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02717,paternal,s3://human-pangenomics/working/HPRC/HG02717/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02717.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02723,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG02723/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02723.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02723,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG02723/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02723.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02818,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG02818/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02818.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02818,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG02818/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02818.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02886,maternal,s3://human-pangenomics/working/HPRC/HG02886/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02886.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG02886,paternal,s3://human-pangenomics/working/HPRC/HG02886/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG02886.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG03098,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG03098/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG03098.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG03098,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG03098/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG03098.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG03453,maternal,s3://human-pangenomics/working/HPRC/HG03453/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG03453.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG03453,paternal,s3://human-pangenomics/working/HPRC/HG03453/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG03453.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG03486,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG03486/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG03486.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG03486,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG03486/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG03486.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG03492,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG03492/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG03492.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG03492,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG03492/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG03492.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG03516,maternal,s3://human-pangenomics/working/HPRC/HG03516/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG03516.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG03516,paternal,s3://human-pangenomics/working/HPRC/HG03516/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG03516.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG03540,maternal,s3://human-pangenomics/working/HPRC/HG03540/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG03540.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG03540,paternal,s3://human-pangenomics/working/HPRC/HG03540/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG03540.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG03579,maternal,s3://human-pangenomics/working/HPRC/HG03579/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG03579.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
HG03579,paternal,s3://human-pangenomics/working/HPRC/HG03579/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/HG03579.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
NA18906,maternal,s3://human-pangenomics/working/HPRC_PLUS/NA18906/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/NA18906.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
NA18906,paternal,s3://human-pangenomics/working/HPRC_PLUS/NA18906/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/NA18906.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
NA19240,maternal,s3://human-pangenomics/working/HPRC_PLUS/NA19240/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/NA19240.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
NA19240,paternal,s3://human-pangenomics/working/HPRC_PLUS/NA19240/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/NA19240.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
NA20129,maternal,s3://human-pangenomics/working/HPRC_PLUS/NA20129/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/NA20129.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
NA20129,paternal,s3://human-pangenomics/working/HPRC_PLUS/NA20129/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/NA20129.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
NA21309,maternal,s3://human-pangenomics/working/HPRC_PLUS/NA21309/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/NA21309.maternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
NA21309,paternal,s3://human-pangenomics/working/HPRC_PLUS/NA21309/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/NA21309.paternal.f1_assembly_v2_genbank.dna_brnn.bed,DNA_BRNN,
chm13,-,s3://human-pangenomics/working/HPRC_PLUS/CHM13/assemblies/year1_f1_assembly_v2_genbank/annotation/dna_brnn/chm13.draft_v1.1.dna_brnn.bed,DNA_BRNN,
HG002,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG002.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG002,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG002/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG002.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG00438,maternal,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00438.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG00438,paternal,s3://human-pangenomics/working/HPRC/HG00438/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00438.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG005,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG005.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG005,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG005/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG005.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG00621,maternal,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00621.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG00621,paternal,s3://human-pangenomics/working/HPRC/HG00621/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00621.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG00673,maternal,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00673.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG00673,paternal,s3://human-pangenomics/working/HPRC/HG00673/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00673.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG00733,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00733.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG00733,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG00733/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00733.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG00735,maternal,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00735.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG00735,paternal,s3://human-pangenomics/working/HPRC/HG00735/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00735.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG00741,maternal,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00741.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG00741,paternal,s3://human-pangenomics/working/HPRC/HG00741/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG00741.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01071,maternal,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01071.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01071,paternal,s3://human-pangenomics/working/HPRC/HG01071/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01071.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01106,maternal,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01106.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01106,paternal,s3://human-pangenomics/working/HPRC/HG01106/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01106.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01109,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG01109/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01109.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01109,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG01109/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01109.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01123,maternal,s3://human-pangenomics/working/HPRC/HG01123/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01123.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01123,paternal,s3://human-pangenomics/working/HPRC/HG01123/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01123.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01175,maternal,s3://human-pangenomics/working/HPRC/HG01175/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01175.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01175,paternal,s3://human-pangenomics/working/HPRC/HG01175/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01175.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01243,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG01243/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01243.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01243,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG01243/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01243.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01258,maternal,s3://human-pangenomics/working/HPRC/HG01258/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01258.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01258,paternal,s3://human-pangenomics/working/HPRC/HG01258/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01258.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01358,maternal,s3://human-pangenomics/working/HPRC/HG01358/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01358.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01358,paternal,s3://human-pangenomics/working/HPRC/HG01358/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01358.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01361,maternal,s3://human-pangenomics/working/HPRC/HG01361/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01361.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01361,paternal,s3://human-pangenomics/working/HPRC/HG01361/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01361.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01891,maternal,s3://human-pangenomics/working/HPRC/HG01891/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01891.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01891,paternal,s3://human-pangenomics/working/HPRC/HG01891/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01891.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01928,maternal,s3://human-pangenomics/working/HPRC/HG01928/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01928.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01928,paternal,s3://human-pangenomics/working/HPRC/HG01928/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01928.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01952,maternal,s3://human-pangenomics/working/HPRC/HG01952/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01952.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01952,paternal,s3://human-pangenomics/working/HPRC/HG01952/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01952.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01978,maternal,s3://human-pangenomics/working/HPRC/HG01978/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01978.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG01978,paternal,s3://human-pangenomics/working/HPRC/HG01978/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG01978.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02055,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG02055/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02055.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02055,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG02055/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02055.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02080,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG02080/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02080.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02080,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG02080/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02080.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02109,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG02109/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02109.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02109,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG02109/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02109.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02145,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG02145/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02145.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02145,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG02145/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02145.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02148,maternal,s3://human-pangenomics/working/HPRC/HG02148/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02148.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02148,paternal,s3://human-pangenomics/working/HPRC/HG02148/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02148.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02257,maternal,s3://human-pangenomics/working/HPRC/HG02257/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02257.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02257,paternal,s3://human-pangenomics/working/HPRC/HG02257/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02257.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02486,maternal,s3://human-pangenomics/working/HPRC/HG02486/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02486.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02486,paternal,s3://human-pangenomics/working/HPRC/HG02486/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02486.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02559,maternal,s3://human-pangenomics/working/HPRC/HG02559/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02559.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02559,paternal,s3://human-pangenomics/working/HPRC/HG02559/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02559.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02572,maternal,s3://human-pangenomics/working/HPRC/HG02572/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02572.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02572,paternal,s3://human-pangenomics/working/HPRC/HG02572/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02572.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02622,maternal,s3://human-pangenomics/working/HPRC/HG02622/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02622.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02622,paternal,s3://human-pangenomics/working/HPRC/HG02622/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02622.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02630,maternal,s3://human-pangenomics/working/HPRC/HG02630/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02630.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02630,paternal,s3://human-pangenomics/working/HPRC/HG02630/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02630.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02717,maternal,s3://human-pangenomics/working/HPRC/HG02717/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02717.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02717,paternal,s3://human-pangenomics/working/HPRC/HG02717/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02717.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02723,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG02723/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02723.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02723,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG02723/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02723.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02818,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG02818/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02818.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02818,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG02818/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02818.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02886,maternal,s3://human-pangenomics/working/HPRC/HG02886/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02886.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG02886,paternal,s3://human-pangenomics/working/HPRC/HG02886/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG02886.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG03098,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG03098/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG03098.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG03098,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG03098/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG03098.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG03453,maternal,s3://human-pangenomics/working/HPRC/HG03453/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG03453.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG03453,paternal,s3://human-pangenomics/working/HPRC/HG03453/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG03453.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG03486,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG03486/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG03486.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG03486,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG03486/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG03486.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG03492,maternal,s3://human-pangenomics/working/HPRC_PLUS/HG03492/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG03492.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG03492,paternal,s3://human-pangenomics/working/HPRC_PLUS/HG03492/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG03492.paternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
HG03516,maternal,s3://human-pangenomics/working/HPRC/HG03516/assemblies/year1_f1_assembly_v2_genbank/annotation/hsat/HG03516.maternal.f1_assembly_v2_genbank.HSat2and3_Regions.bed,HSat,
