100kb+,1Mb+,200kb+,300kb+,400kb+,500kb+,DeepConsensus_version,MM_remove,MM_review,MM_tag,N25,N50,N75,accession,barcode,basecaller,basecaller_model,basecaller_version,basecalling_version,bioproject_accession,biosample_accession,ccs_algorithm,cell_type,check-flnc reads,coverage,data_type,deepconsensus_coverage,deepconsensus_filename,deepconsensus_path,design_description,filename,filetype,generator_contact,generator_facility,instrument_model,iso_filename,iso_library_id,jasmine_version,library_ID,library_layout,library_selection,library_source,library_strategy,lima_float_version,lima_version,max,mean,min,notes,ntsm_score,path,pbtrim_version,platform,platform_unit_1,platform_unit_2,polymerase_version,pool,primrose_filename,production,quartile_25,quartile_50,quartile_75,read_N50,refine_version,sample_ID,seq_kit,seq_plate_chemistry_version,sequencing_chemistry,shear_method,similarity,size_selection,study,title,total_Gbp,total_bp,total_reads,whales,ChildID,N,Sex,Subpopulation,Superpopulation,Production Year,file_size
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613604,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN37706907,N/A,N/A,N/A,8.36,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03804-06b-1_S5_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03804-06b-1-1_S5_L004_R1_001-1_S5_L004_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.538214,s3://human-pangenomics/working/HPRC/HG03804/raw_data/hic/HG03804-06b-1_S5_L004_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03804,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,25.93,25926228915.0,N/A,N/A,HG03804,BD18,female,BEB,SAS,YR2,14135451483
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613603,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN37706907,N/A,N/A,N/A,6.65,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03804-06b-2_S6_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03804-06b-2-2_S6_L001_R1_001-2_S6_L001_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.558338,s3://human-pangenomics/working/HPRC/HG03804/raw_data/hic/HG03804-06b-2_S6_L001_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03804,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,20.6,20599997413.0,N/A,N/A,HG03804,BD18,female,BEB,SAS,YR2,11225455762
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613602,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN37706907,N/A,N/A,N/A,6.55,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03804-06b-2_S6_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03804-06b-2-2_S6_L002_R1_001-2_S6_L002_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.563349,s3://human-pangenomics/working/HPRC/HG03804/raw_data/hic/HG03804-06b-2_S6_L002_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03804,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,20.3,20298890067.0,N/A,N/A,HG03804,BD18,female,BEB,SAS,YR2,11089525668
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613878,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN37706907,N/A,N/A,N/A,6.42,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03804-06b-2_S6_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03804-06b-2-2_S6_L003_R1_001-2_S6_L003_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.574776,s3://human-pangenomics/working/HPRC/HG03804/raw_data/hic/HG03804-06b-2_S6_L003_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03804,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,19.9,19904479372.0,N/A,N/A,HG03804,BD18,female,BEB,SAS,YR2,10949398146
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613758,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN37706907,N/A,N/A,N/A,6.39,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03804-06b-2_S6_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03804-06b-2-2_S6_L004_R1_001-2_S6_L004_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.540342,s3://human-pangenomics/working/HPRC/HG03804/raw_data/hic/HG03804-06b-2_S6_L004_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03804,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,19.82,19815203183.0,N/A,N/A,HG03804,BD18,female,BEB,SAS,YR2,10845978100
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613757,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN37706908,N/A,N/A,N/A,10.25,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03816-01ab-1_S3_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03816-01ab-1-1_S3_L001_R1_001-1_S3_L001_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.501235,s3://human-pangenomics/working/HPRC/HG03816/raw_data/hic/HG03816-01ab-1_S3_L001_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03816,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,31.78,31780307378.0,N/A,N/A,HG03816,BD22,female,BEB,SAS,YR2,16123762005
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613756,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN37706908,N/A,N/A,N/A,10.22,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03816-01ab-1_S3_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03816-01ab-1-1_S3_L002_R1_001-1_S3_L002_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.506623,s3://human-pangenomics/working/HPRC/HG03816/raw_data/hic/HG03816-01ab-1_S3_L002_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03816,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,31.67,31667371682.0,N/A,N/A,HG03816,BD22,female,BEB,SAS,YR2,16072378958
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613875,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN37706908,N/A,N/A,N/A,10.26,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03816-01ab-1_S3_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03816-01ab-1-1_S3_L003_R1_001-1_S3_L003_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.502938,s3://human-pangenomics/working/HPRC/HG03816/raw_data/hic/HG03816-01ab-1_S3_L003_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03816,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,31.82,31815414810.0,N/A,N/A,HG03816,BD22,female,BEB,SAS,YR2,16212302304
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613874,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN37706908,N/A,N/A,N/A,10.07,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03816-01ab-1_S3_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03816-01ab-1-1_S3_L004_R1_001-1_S3_L004_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.495419,s3://human-pangenomics/working/HPRC/HG03816/raw_data/hic/HG03816-01ab-1_S3_L004_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03816,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,31.23,31232187295.0,N/A,N/A,HG03816,BD22,female,BEB,SAS,YR2,16111739980
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613872,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN37706908,N/A,N/A,N/A,10.13,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03816-01ab-2_S4_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03816-01ab-2-2_S4_L001_R1_001-2_S4_L001_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.51494,s3://human-pangenomics/working/HPRC/HG03816/raw_data/hic/HG03816-01ab-2_S4_L001_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03816,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,31.4,31397362078.0,N/A,N/A,HG03816,BD22,female,BEB,SAS,YR2,15925129486
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613871,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN37706908,N/A,N/A,N/A,10.13,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03816-01ab-2_S4_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03816-01ab-2-2_S4_L002_R1_001-2_S4_L002_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.511242,s3://human-pangenomics/working/HPRC/HG03816/raw_data/hic/HG03816-01ab-2_S4_L002_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03816,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,31.4,31399240762.0,N/A,N/A,HG03816,BD22,female,BEB,SAS,YR2,15930083927
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613870,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN37706908,N/A,N/A,N/A,10.17,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03816-01ab-2_S4_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03816-01ab-2-2_S4_L003_R1_001-2_S4_L003_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.495473,s3://human-pangenomics/working/HPRC/HG03816/raw_data/hic/HG03816-01ab-2_S4_L003_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03816,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,31.52,31521679216.0,N/A,N/A,HG03816,BD22,female,BEB,SAS,YR2,16054168670
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613869,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN37706908,N/A,N/A,N/A,9.98,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03816-01ab-2_S4_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03816-01ab-2-2_S4_L004_R1_001-2_S4_L004_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.473115,s3://human-pangenomics/working/HPRC/HG03816/raw_data/hic/HG03816-01ab-2_S4_L004_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03816,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,30.94,30937315032.0,N/A,N/A,HG03816,BD22,female,BEB,SAS,YR2,15939984227
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613868,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237514,N/A,N/A,N/A,6.02,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03831-37a-1_S15_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03831-37a-1-1_S15_L001_R1_001-1_S15_L001_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.510115,s3://human-pangenomics/working/HPRC/HG03831/raw_data/hic/HG03831-37a-1_S15_L001_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03831,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,18.67,18671577800.0,N/A,N/A,HG03831,BD27,female,BEB,SAS,YR2,11022534188
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613866,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237514,N/A,N/A,N/A,5.92,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03831-37a-1_S15_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03831-37a-1-1_S15_L002_R1_001-1_S15_L002_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.498653,s3://human-pangenomics/working/HPRC/HG03831/raw_data/hic/HG03831-37a-1_S15_L002_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03831,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,18.36,18363345183.0,N/A,N/A,HG03831,BD27,female,BEB,SAS,YR2,10899947603
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613865,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237514,N/A,N/A,N/A,6.07,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03831-37a-1_S15_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03831-37a-1-1_S15_L003_R1_001-1_S15_L003_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.496633,s3://human-pangenomics/working/HPRC/HG03831/raw_data/hic/HG03831-37a-1_S15_L003_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03831,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,18.83,18826943298.0,N/A,N/A,HG03831,BD27,female,BEB,SAS,YR2,11205033586
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613863,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237514,N/A,N/A,N/A,5.77,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03831-37a-1_S15_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03831-37a-1-1_S15_L004_R1_001-1_S15_L004_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.494824,s3://human-pangenomics/working/HPRC/HG03831/raw_data/hic/HG03831-37a-1_S15_L004_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03831,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,17.88,17877544503.0,N/A,N/A,HG03831,BD27,female,BEB,SAS,YR2,10709174936
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613862,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237514,N/A,N/A,N/A,5.69,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03831-37a-2_S16_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03831-37a-2-2_S16_L001_R1_001-2_S16_L001_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.540423,s3://human-pangenomics/working/HPRC/HG03831/raw_data/hic/HG03831-37a-2_S16_L001_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03831,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,17.65,17650486923.0,N/A,N/A,HG03831,BD27,female,BEB,SAS,YR2,10370887666
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613861,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237514,N/A,N/A,N/A,5.58,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03831-37a-2_S16_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03831-37a-2-2_S16_L002_R1_001-2_S16_L002_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.500641,s3://human-pangenomics/working/HPRC/HG03831/raw_data/hic/HG03831-37a-2_S16_L002_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03831,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,17.29,17289642616.0,N/A,N/A,HG03831,BD27,female,BEB,SAS,YR2,10220791996
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613859,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237514,N/A,N/A,N/A,5.63,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03831-37a-2_S16_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03831-37a-2-2_S16_L003_R1_001-2_S16_L003_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.490855,s3://human-pangenomics/working/HPRC/HG03831/raw_data/hic/HG03831-37a-2_S16_L003_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03831,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,17.46,17457179116.0,N/A,N/A,HG03831,BD27,female,BEB,SAS,YR2,10344484901
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613858,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26237514,N/A,N/A,N/A,5.45,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03831-37a-2_S16_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03831-37a-2-2_S16_L004_R1_001-2_S16_L004_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.510984,s3://human-pangenomics/working/HPRC/HG03831/raw_data/hic/HG03831-37a-2_S16_L004_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03831,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,16.9,16895609440.0,N/A,N/A,HG03831,BD27,female,BEB,SAS,YR2,10084911177
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613857,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26267386,N/A,N/A,N/A,6.43,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03927-31b-1_S5_L001_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03927-31b-1-1_S5_L001_R1_001-1_S5_L001_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.473743,s3://human-pangenomics/working/HPRC/HG03927/raw_data/hic/HG03927-31b-1_S5_L001_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03927,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,19.93,19930937049.0,N/A,N/A,HG03927,BD37,female,BEB,SAS,YR2,11596558128
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613856,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26267386,N/A,N/A,N/A,6.28,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03927-31b-1_S5_L002_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03927-31b-1-1_S5_L002_R1_001-1_S5_L002_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.46365,s3://human-pangenomics/working/HPRC/HG03927/raw_data/hic/HG03927-31b-1_S5_L002_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03927,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,19.46,19463413043.0,N/A,N/A,HG03927,BD37,female,BEB,SAS,YR2,11397111066
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613855,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26267386,N/A,N/A,N/A,6.23,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03927-31b-1_S5_L003_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03927-31b-1-1_S5_L003_R1_001-1_S5_L003_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.483884,s3://human-pangenomics/working/HPRC/HG03927/raw_data/hic/HG03927-31b-1_S5_L003_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03927,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,19.33,19325757657.0,N/A,N/A,HG03927,BD37,female,BEB,SAS,YR2,11333242700
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SRR30613736,N/A,N/A,N/A,N/A,N/A,PRJNA701308,SAMN26267386,N/A,N/A,N/A,6.13,unaligned reads,N/A,N/A,N/A,Illumina Sequencing of Omni-C Libraries,HG03927-31b-1_S5_L004_R1_001.fastq.gz,fastq,wseligma@ucsc.edu,University of California Santa Cruz,Illumina NovaSeq 6000,N/A,N/A,N/A,HG03927-31b-1-1_S5_L004_R1_001-1_S5_L004_R2_001,paired,RANDOM,GENOMIC,Hi-C,N/A,N/A,N/A,N/A,N/A,N/A,0.484124,s3://human-pangenomics/working/HPRC/HG03927/raw_data/hic/HG03927-31b-1_S5_L004_R1_001.fastq.gz,N/A,ILLUMINA,N/A,N/A,N/A,N/A,N/A,HiC,N/A,N/A,N/A,N/A,N/A,HG03927,N/A,N/A,N/A,no shear,N/A,N/A,SRP305758,N/A,18.99,18992932982.0,N/A,N/A,HG03927,BD37,female,BEB,SAS,YR2,11227482194
